repo,infection_type,variant,status,branches,infected_files,file_count,first_commit_date,first_detected,last_scan,cleaned_date,cleaned_by,reinfected_count,skip_reason,notes,woff2_fake,fake_readme,gitignore_inject,js_config,npm_malicious,bat_script,node_mod,c2,ide_rce
branch8/project-manageto-teachateau-frontend,config,V1,CLEANED,master,tailwind.config.js,1,2023-10-24,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-me-contenthub,config,V1,CLEANED,main-092022,packages/frontend/next.config.js,1,2022-12-13,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-wp-second-talent-website,config,V1,CLEANED,master,wp-content/plugins/wp-plugin-hostgator/tailwind.config.js | wp-content/plugins/wp-plugin-hostgator/vendor/newfold-labs/wp-module-patterns/css-utilities/tailwind.config.js,2,2024-08-21,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/saas-template,config,V1,CLEANED,main,apps/ai-avatars/postcss.config.mjs | apps/blog-writer/postcss.config.mjs | apps/chatbots/postcss.config.mjs | apps/dev-tool/postcss.config.mjs | apps/kanban/postcss.config.mjs | apps/pdf-chat/postcss.config.mjs | apps/web/postcss.config.mjs,7,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/sol,config,V1,CLEANED,main,frontend/next.config.js,1,2022-02-28,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/trust-and-safety,config,V1,CLEANED,main,packages/frontend/next.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/all-in-tracker,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2025-08-07,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/be-project-me-shopify-merch,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2022-09-16,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/dimorder-keeta,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2026-04-15,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/extension-magento2-Branch8_CustomSalesSequence,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2021-07-02,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/extension-magento2-ImBee_MagentoConnector,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2023-01-10,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/extension-magento2-Magento_DeferredTotalCalculating,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2022-05-23,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/francfranc-taiwan,woff2,V1,CLEANED,feature/enable-cc-small-furniture | hotfix/disable-POS-requests | master,public/fonts/fa-solid-400.woff2,1,2026-01-21,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,[2026-05-12: all branches cleaned (master+feature/enable-cc-small-furniture+hotfix/disable-POS-requests)] | RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/frappe-payroll-extensions,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2026-01-05,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/hypermint-landingpage,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2022-12-01,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/imaginovation-sml-integration_grapesjs-accordion,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2023-07-25,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/imaginovation-sml-integration_tests-selenium,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2023-08-30,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/just-for-test-anything,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2025-03-26,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/kef-promo-app,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2021-12-29,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/kef-promo-app-frontend,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/liberte-bot,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2022-11-09,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/lifung-optimus,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2021-01-08,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-carparkfpspayment-carpark-fps-site,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2023-09-07,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-freshmarketbook-freshmarketbook_source,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2024-09-10,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-linkcmsapi,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-linkcorp-LINK_CorporateWebsiteRevamp_Backend,woff2,V1,CLEANED,Link/kyletestseo,public/fonts/fa-solid-400.woff2,1,2021-01-07,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-linkrsvpsystem-wetech-linkrsvpsystem_frontend,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2020-09-21,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-linkup,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2024-12-18,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-linkweb-TheLinkRevamp_Web,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-shareprofiles-linkcarparkpayment-linkcarparkpayment,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2021-07-14,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-shareprofiles-linkcarparkpayment-linkcarparkpayment-api,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2024-10-18,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-shareprofiles-linkcnweb-linkcnweb,woff2,V1,CLEANED,hotfix,public/fonts/fa-solid-400.woff2,1,2021-10-04,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-shareprofiles-linkcorp-LINK_CorporateWebsiteRevamp_Backend,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2021-10-18,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-shareprofiles-linknamecard-linknamecard,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2020-12-14,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-shareprofiles-linkweb-TheLinkRevamp_Web,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2024-08-15,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/magento2-docker,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2023-08-09,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/magento2-traefik-docker,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2021-02-23,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/magicdao,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/mocaverse-raffle,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/mother-care-strapi,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2021-08-09,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/phpStan-Magento2,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2020-09-16,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/potadao-landing,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2022-03-18,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-aem-cic,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2023-04-11,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-api-optimization-link-reit,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2024-04-26,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-aws-mwaa-local-runner-kef,woff2,V1,CLEANED,branch8/main,public/fonts/fa-solid-400.woff2,1,2025-01-24,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-choco-up-cal-engine,woff2,V1,CLEANED,main-branch8,public/fonts/fa-solid-400.woff2,1,2023-06-14,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-choco-up-databricks,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-chowsangsang,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2023-05-22,2026-05-12,2026-05-15,2026-05-12,,0,,,CLEANED,-,-,-,-,-,-,-,-
branch8/project-cors-proxy,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2022-04-28,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-hkbu-python,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2025-04-08,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-imbee_lambda_cros-proxy,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2023-01-31,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-internal-nftAnalytics,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,2022-05-24,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-internalProduct-promotionAppFrontend,woff2,V1,CLEANED,bugfix/fix-the-onec-per-custoner-checkbox,public/fonts/fa-solid-400.woff2,1,2021-12-13,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento-chowsangsang,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento2-Alfred,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento2-hkaa-plantuml,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2024-11-12,2026-05-12,2026-05-22,2026-05-12,,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento2-jvdb,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento2-nutritionus,woff2,V1,CLEANED,dev,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento2-pandatvmall,woff2,V1,CLEANED,master,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento2-theclub,woff2,V1,CLEANED,dev,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magiceden-whitelabel-okaybears,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-manageto-ebanner,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2023-11-02,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-me-analytics,woff2,V1,CLEANED,develop,public/fonts/fa-solid-400.woff2,1,2022-08-15,2026-05-12,2026-05-22,2026-05-16,claude/cleanup-gitignore.sh,1,,RE-INFECTED 2026-05-16,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
